Bolt Services*,Food
BOLT*,Transport
UBR*,Transport
*KAUFLAND*,Groceries
SEPHORA*,Beauty
STYL*,Jewelery
VITRIN MODASTIL*,Suits
*f64.ro,Foto
CARREFOUR*,Groceries
Vivo Street Food,Food
Selgros*,Groceries
OMV*,Fuel
MOL *,Fuel
*MCDONALD*,Food
*KFC*,Food
ZARA*,Clothing
SINSAY*,Clothing
easybox Sameday,Shopping
GAZETTO CAFE C2,Food
HELP NET,Medicine
Synevo,Medicine
DECATHLON*,Sport
CATENA*,Medicine
Hotel at Booking.com,Holiday
INTERSPORT*,Sport
JUMBO*,Shopping
CHOUSE GALATI,Food
B&B*,Jewelery
DEDEMAN,House
PTP ONLINE,Transport
RESTAURANT TRAI,Food
ALT CONTROL COMPUTER,Homelab
OSCAR FOOD SRL,Food
PROFI,Groceries
SNTFC CFR Calatori S,Transport
BIJUTERIE PALAS IA,Jewelery
COFETARIA DANA,Food
MINISO*,Shopping
PENTI,Clothing
*pcgarage.ro,Homelab
SMILE ACADEMY,Dental
*gotica.ro,Clothing
GOOGLE*,Digital
CCC *,Clothing
